epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1448.54,0.36627,0.73995,0.9018,0.98629,1,0.995,0.89518,0.50914,0.76326,1.11441,0.000280723,0.000280723,0.000280723
44,1479.63,0.37731,0.70335,0.91765,0.98828,1,0.995,0.89841,0.51261,0.7119,1.14037,0.000247716,0.000247716,0.000247716
45,1513.43,0.35346,0.66147,0.8978,0.98969,1,0.995,0.88088,0.49423,0.71041,1.12773,0.00021471,0.00021471,0.00021471
46,1547.42,0.36433,0.6547,0.90445,0.98956,1,0.995,0.88088,0.46107,0.70157,1.10782,0.000181703,0.000181703,0.000181703
47,1583.66,0.35307,0.62388,0.90561,0.98784,1,0.995,0.91812,0.42678,0.68844,1.08907,0.000148696,0.000148696,0.000148696
48,1615.1,0.34475,0.64004,0.89954,0.98811,1,0.995,0.91084,0.42001,0.68052,1.07779,0.00011569,0.00011569,0.00011569
49,1645.65,0.33186,0.62379,0.90057,0.98736,1,0.995,0.90149,0.41716,0.6633,1.06935,8.26832e-05,8.26832e-05,8.26832e-05
50,1676.83,0.32569,0.61405,0.88196,0.98639,1,0.995,0.89524,0.42085,0.65477,1.06978,4.96766e-05,4.96766e-05,4.96766e-05
1,50.1348,0.81771,3.21357,1.27378,0.00344,1,0.29068,0.24641,0.51138,3.72731,1.03661,0.00015003,0.00015003,0.00015003
2,92.869,0.66897,1.85859,1.11796,0.00333,1,0.61951,0.52765,0.61522,3.29754,1.04355,0.000310459,0.000310459,0.000310459
3,134.472,0.66626,1.50014,1.07878,0.95731,0.41268,0.77333,0.65283,0.68268,2.96823,1.0987,0.000464286,0.000464286,0.000464286
4,177.105,0.68338,1.33025,1.10076,0.89011,0.30769,0.82152,0.65399,0.6694,2.97015,1.11508,0.000611512,0.000611512,0.000611512
5,222.317,0.68821,1.36151,1.0812,0.77261,0.875,0.91018,0.71626,0.7697,2.53689,1.29286,0.000752137,0.000752137,0.000752137
6,263.813,0.74224,1.34183,1.13273,1,0.83028,0.94534,0.74581,0.76002,2.07044,1.21526,0.000886161,0.000886161,0.000886161
7,305.206,0.72479,1.35056,1.11854,0.88365,0.95032,0.98369,0.82198,0.745,2.11798,1.22794,0.00101358,0.00101358,0.00101358
8,346.032,0.68197,1.20381,1.06888,0.78688,0.96566,0.89083,0.74812,0.67011,1.97506,1.17281,0.0011344,0.0011344,0.0011344
9,386.997,0.72522,1.27295,1.13221,0.80714,0.96987,0.995,0.64921,0.89327,2.00975,1.30819,0.00124862,0.00124862,0.00124862
