epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3628.65,0.81701,0.56225,0.87795,0.773,0.81756,0.79137,0.62118,0.86704,0.77851,0.93034,0.000313729,0.000313729,0.000313729
43,3713.72,0.82618,0.5768,0.89143,0.77894,0.85998,0.80737,0.64137,0.85835,0.76193,0.93152,0.000280723,0.000280723,0.000280723
44,3795.56,0.82404,0.55884,0.88977,0.7609,0.86083,0.81649,0.64812,0.86671,0.82132,0.92798,0.000247716,0.000247716,0.000247716
45,3877.29,0.79374,0.53215,0.88469,0.73807,0.83872,0.80404,0.63772,0.8688,0.84712,0.92418,0.00021471,0.00021471,0.00021471
46,3957.36,0.80782,0.51847,0.87985,0.76387,0.82186,0.80014,0.63346,0.89945,0.85696,0.93081,0.000181703,0.000181703,0.000181703
47,4037.08,0.79292,0.52607,0.8758,0.74032,0.81397,0.78403,0.6238,0.88673,0.8285,0.9287,0.000148696,0.000148696,0.000148696
48,4116.14,0.76874,0.49902,0.87017,0.72526,0.82886,0.77547,0.61871,0.88166,0.83316,0.92706,0.00011569,0.00011569,0.00011569
49,4196.31,0.76759,0.50165,0.87347,0.72197,0.83718,0.77969,0.62115,0.88125,0.80598,0.92753,8.26832e-05,8.26832e-05,8.26832e-05
50,4276.33,0.77661,0.50536,0.87126,0.77028,0.80441,0.78843,0.62698,0.86946,0.80347,0.92481,4.96766e-05,4.96766e-05,4.96766e-05
1,120.874,1.29397,2.85183,1.0642,0.0134,0.79549,0.31525,0.23335,0.89215,3.12018,0.89881,0.00040008,0.00040008,0.00040008
2,237.353,1.16558,1.67188,1.02367,0.87535,0.08333,0.34787,0.2596,1.00332,3.02005,0.99026,0.000800657,0.000800657,0.000800657
3,377.729,1.16136,1.48633,1.01634,0.72689,0.38083,0.648,0.44505,1.02833,2.43333,0.98838,0.00118473,0.00118473,0.00118473
4,533.902,1.14791,1.36656,1.01414,0.66736,0.66123,0.7552,0.52278,1.01415,1.93309,1.00931,0.0015523,0.0015523,0.0015523
5,677.777,1.14577,1.25311,1.01535,0.48909,0.66945,0.66581,0.46247,1.013,2.26956,0.95735,0.00153497,0.00153497,0.00153497
6,813.243,1.13114,1.20529,1.00276,0.68743,0.68499,0.6915,0.47394,1.0159,1.85471,0.97878,0.00150197,0.00150197,0.00150197
7,952.111,1.0761,1.10568,0.98253,0.73766,0.70575,0.75159,0.56031,0.95917,1.5626,0.98173,0.00146896,0.00146896,0.00146896
8,1093.26,1.10412,1.11544,0.97178,0.74412,0.69343,0.73536,0.54489,0.9454,1.29669,0.95631,0.00143595,0.00143595,0.00143595
9,1232.97,1.08149,1.03423,0.9848,0.70161,0.73579,0.79351,0.5879,0.92899,1.39781,0.96278,0.00140295,0.00140295,0.00140295
10,1371.16,1.07597,1.04145,0.97764,0.73243,0.72077,0.75401,0.56137,0.92607,1.19931,0.94972,0.00136994,0.00136994,0.00136994
11,1508.18,1.06847,1.02088,0.9765,0.73341,0.77855,0.80567,0.61828,0.88871,1.06388,0.94557,0.00133693,0.00133693,0.00133693
12,1641.24,1.04799,0.95437,0.9631,0.70788,0.77413,0.77994,0.59648,0.88863,1.13574,0.95015,0.00130393,0.00130393,0.00130393
13,1777.69,1.01598,0.91477,0.96318,0.73818,0.75821,0.78503,0.60281,0.88769,1.13024,0.94393,0.00127092,0.00127092,0.00127092
14,1913.3,1.01317,0.89993,0.95436,0.77325,0.81466,0.80134,0.60269,0.92412,1.20098,0.95389,0.00123791,0.00123791,0.00123791
15,2046.02,0.98882,0.8563,0.94829,0.72926,0.74723,0.76996,0.58416,0.91452,1.08916,0.95336,0.00120491,0.00120491,0.00120491
16,2186.48,0.97789,0.82375,0.95089,0.72935,0.7367,0.73798,0.56014,0.93626,1.29529,0.95942,0.0011719,0.0011719,0.0011719
17,2313.47,1.01274,0.82218,0.9544,0.73131,0.69358,0.72619,0.55743,0.87982,1.43387,0.94081,0.00113889,0.00113889,0.00113889
18,2436.16,0.96712,0.78082,0.94208,0.72803,0.70386,0.70232,0.5274,0.87669,1.4168,0.94244,0.00110589,0.00110589,0.00110589
19,2569.94,0.96903,0.7754,0.9417,0.71621,0.74542,0.7757,0.59535,0.89698,1.06641,0.95373,0.00107288,0.00107288,0.00107288
20,2692.49,0.96049,0.75553,0.94037,0.73918,0.76978,0.78033,0.59021,0.85811,1.07896,0.94606,0.00103987,0.00103987,0.00103987
21,2858.72,0.91893,0.74072,0.92404,0.74299,0.79507,0.7813,0.60406,0.83419,1.13566,0.9301,0.00100687,0.00100687,0.00100687
22,2991.22,0.93226,0.72706,0.92377,0.83468,0.83265,0.85529,0.66202,0.85235,0.88263,0.93432,0.000973861,0.000973861,0.000973861
23,3119.05,0.89558,0.68583,0.91975,0.77142,0.79318,0.79389,0.61802,0.81307,1.02584,0.92468,0.000940855,0.000940855,0.000940855
24,3259.07,0.89781,0.69474,0.92026,0.80954,0.81954,0.85614,0.66136,0.84205,0.98748,0.92712,0.000907848,0.000907848,0.000907848
25,3382.36,0.90397,0.66239,0.92264,0.82854,0.79076,0.82696,0.64141,0.84883,1.12118,0.93199,0.000874842,0.000874842,0.000874842
26,3496.21,0.90082,0.63447,0.91635,0.817,0.80998,0.83078,0.65042,0.84404,1.02503,0.93057,0.000841835,0.000841835,0.000841835
27,3610.82,0.92011,0.63517,0.92189,0.75665,0.87561,0.8569,0.68297,0.80418,0.88119,0.91713,0.000808828,0.000808828,0.000808828
28,3724.67,0.8797,0.64255,0.90781,0.81732,0.78963,0.82512,0.65415,0.82342,0.91078,0.91951,0.000775822,0.000775822,0.000775822
29,3838.56,0.89807,0.64445,0.92174,0.82792,0.78265,0.81533,0.64993,0.79881,0.96291,0.91709,0.000742815,0.000742815,0.000742815
30,3951.63,0.89119,0.63178,0.92289,0.77153,0.82674,0.81623,0.65346,0.80297,0.89502,0.91647,0.000709809,0.000709809,0.000709809
31,4065.3,0.86457,0.60174,0.9049,0.76767,0.84803,0.84478,0.67568,0.8042,0.9676,0.91884,0.000676802,0.000676802,0.000676802
32,4187.68,0.85198,0.60578,0.90925,0.78906,0.83799,0.83267,0.65963,0.81238,0.98001,0.92943,0.000643795,0.000643795,0.000643795
33,4318.69,0.85698,0.59776,0.90944,0.83374,0.81236,0.84252,0.66657,0.78634,0.82314,0.91059,0.000610789,0.000610789,0.000610789
34,4441.1,0.83971,0.5652,0.89901,0.75302,0.75295,0.76254,0.60282,0.82954,1.23837,0.92511,0.000577782,0.000577782,0.000577782
35,4574.4,0.85946,0.57108,0.90523,0.77473,0.76745,0.77627,0.60738,0.82243,1.05623,0.92403,0.000544776,0.000544776,0.000544776
36,4708.08,0.85753,0.56672,0.90512,0.77342,0.81267,0.79989,0.63529,0.79067,1.02701,0.91747,0.000511769,0.000511769,0.000511769
37,4844.26,0.83333,0.54612,0.89996,0.79668,0.83372,0.84317,0.68263,0.77419,0.88442,0.90897,0.000478762,0.000478762,0.000478762
38,4976.52,0.83763,0.54429,0.90341,0.80703,0.83832,0.84582,0.67816,0.76813,0.90944,0.90642,0.000445756,0.000445756,0.000445756
39,5121.64,0.82486,0.54709,0.89412,0.86543,0.81412,0.8567,0.68817,0.76882,0.89954,0.90188,0.000412749,0.000412749,0.000412749
40,5261.23,0.80624,0.53482,0.89428,0.8259,0.80441,0.82146,0.66511,0.77281,0.85748,0.90666,0.000379743,0.000379743,0.000379743
41,5404.74,0.7676,0.53175,0.87612,0.80299,0.80547,0.83402,0.67169,0.78658,0.95708,0.91318,0.000346736,0.000346736,0.000346736
42,5536.02,0.77015,0.49714,0.87829,0.84583,0.79285,0.84494,0.68649,0.78165,0.86329,0.90979,0.000313729,0.000313729,0.000313729
43,5676.27,0.74245,0.48597,0.86666,0.82865,0.78898,0.83021,0.66575,0.77281,0.91308,0.90453,0.000280723,0.000280723,0.000280723
44,5809.22,0.73844,0.46504,0.86942,0.86954,0.80447,0.85687,0.69341,0.76173,0.75163,0.89991,0.000247716,0.000247716,0.000247716
45,5940.58,0.73355,0.47377,0.86564,0.80657,0.80783,0.84004,0.67293,0.76141,0.87066,0.90052,0.00021471,0.00021471,0.00021471
46,6058.06,0.72004,0.44595,0.86306,0.80475,0.83401,0.84684,0.67387,0.76873,0.86991,0.90502,0.000181703,0.000181703,0.000181703
47,6170.89,0.71835,0.45042,0.86468,0.83761,0.81866,0.85242,0.69023,0.75761,0.83023,0.90435,0.000148696,0.000148696,0.000148696
48,6283.23,0.71997,0.43494,0.87049,0.87316,0.80337,0.8618,0.69893,0.75341,0.78492,0.90443,0.00011569,0.00011569,0.00011569
49,6395.13,0.69984,0.42449,0.85396,0.85416,0.82776,0.86311,0.70142,0.75146,0.79454,0.9023,8.26832e-05,8.26832e-05,8.26832e-05
50,6507.21,0.69536,0.42421,0.84933,0.84778,0.81964,0.86098,0.69865,0.75488,0.81304,0.90456,4.96766e-05,4.96766e-05,4.96766e-05
